area_code,type,diocese,sa_2022_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
077124001,ROI small area,"Tuam, Limerick and Killaloe",077124001,11,6,0,13,3,0,3,0,0,0,0,0,1,0
077078002,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
077078007/077078008,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
077057001,ROI small area,"Tuam, Limerick and Killaloe",077057001,21,12,3,19,1,0,5,1,3,0,0,1,2,0
077134001,ROI small area,"Tuam, Limerick and Killaloe",077134001,32,15,3,32,4,1,9,1,2,0,2,0,4,1
077006001,ROI small area,"Tuam, Limerick and Killaloe",077006001,10,16,1,11,3,1,2,0,0,0,0,0,0,0
077061004,ROI small area,"Cork, Cloyne and Ross",077061004,10,17,4,24,1,0,3,0,2,0,0,0,2,3
077061001/077061003,ROI small area,"Tuam, Limerick and Killaloe",077061001/077061003,17,10,0,13,2,0,2,1,1,0,0,0,1,1
077070002/077070003,ROI small area,"Tuam, Limerick and Killaloe",077070002/077070003,18,11,5,18,1,1,2,1,0,0,0,1,3,1
077038002,ROI small area,"Tuam, Limerick and Killaloe",077038002,19,13,6,21,4,1,6,0,0,0,0,1,2,1
047008001,ROI small area,"Cork, Cloyne and Ross",047008001,27,16,0,28,2,2,7,0,3,0,1,0,0,10
077080001,ROI small area,"Cork, Cloyne and Ross",077080001,13,11,3,14,4,1,3,1,4,0,1,0,1,2
077097004,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
077079001,ROI small area,"Cork, Cloyne and Ross",077079001,18,16,3,20,5,1,2,0,1,0,0,0,2,4
077089010,ROI small area,"Tuam, Limerick and Killaloe",077089010,32,26,6,32,5,3,1,3,2,1,2,0,0,7
077058001,ROI small area,"Tuam, Limerick and Killaloe",077058001,18,7,1,17,3,2,4,0,2,0,0,0,1,1
077058002,ROI small area,"Tuam, Limerick and Killaloe",077058002,18,12,3,30,6,2,1,0,2,0,1,1,0,2
077072001,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
077047001,ROI small area,"Tuam, Limerick and Killaloe",077047001,11,11,2,18,0,2,5,1,4,0,0,0,0,4
077097002,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
077101002,ROI small area,"Tuam, Limerick and Killaloe",077101002,28,18,2,35,4,1,4,1,5,0,0,1,2,4
077053001,ROI small area,"Tuam, Limerick and Killaloe",077053001,21,9,3,45,5,2,8,1,1,1,1,1,2,0
077033003,ROI small area,"Tuam, Limerick and Killaloe",077033003,18,20,5,34,4,0,3,1,1,0,0,2,1,0
077137001,ROI small area,"Tuam, Limerick and Killaloe",077137001,19,19,3,33,3,2,4,1,2,1,0,0,2,0
077082009,ROI small area,"Tuam, Limerick and Killaloe",077082009,18,22,6,35,4,1,3,2,1,1,3,2,0,0
077116002,ROI small area,"Tuam, Limerick and Killaloe",077116002,21,14,6,23,3,1,1,1,2,0,1,0,1,0
077116001,ROI small area,"Tuam, Limerick and Killaloe",077116001,27,10,0,18,1,0,4,1,0,0,0,0,0,0
077137002,ROI small area,"Tuam, Limerick and Killaloe",077137002,11,16,3,19,7,5,5,1,0,0,0,0,3,1
077022001,ROI small area,"Tuam, Limerick and Killaloe",077022001,24,13,1,17,4,1,0,0,2,0,0,0,2,3
077012003,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
047225002,ROI small area,"Cork, Cloyne and Ross",047225002,9,15,1,17,0,1,4,2,2,0,0,0,0,3
