area_code,type,diocese,sa_2022_code,catholic,other_religion,no_religion,not_stated
047260001,ROI small area,"Cork, Cloyne and Ross",047260001,205,8,38,5
047273003,ROI small area,"Cork, Cloyne and Ross",047273003,344,14,35,11
047069001,ROI small area,"Cork, Cloyne and Ross",047069001,190,6,19,10
047093001,ROI small area,"Cork, Cloyne and Ross",047093001,325,4,33,11
047194001,ROI small area,"Cork, Cloyne and Ross",047194001,211,24,43,5
047030001,ROI small area,"Cork, Cloyne and Ross",047030001,135,22,34,4
047087003,ROI small area,"Cork, Cloyne and Ross",047087003,176,25,31,4
047184001,ROI small area,"Tuam, Limerick and Killaloe",047184001,292,15,43,15
047081001,ROI small area,"Tuam, Limerick and Killaloe",047081001,240,4,37,7
047233002,ROI small area,"Cork, Cloyne and Ross",047233002,319,14,29,17
047238002,ROI small area,"Cork, Cloyne and Ross",047238002,318,11,45,8
047305001,ROI small area,"Cork, Cloyne and Ross",047305001,291,10,29,14
047060002,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047091001,ROI small area,"Cork, Cloyne and Ross",047091001,280,20,28,6
047060003,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047009002,ROI small area,"Cork, Cloyne and Ross",047009002,231,4,15,9
047139001,ROI small area,"Cork, Cloyne and Ross",047139001,241,23,24,28
047091002,ROI small area,"Cork, Cloyne and Ross",047091002,212,14,30,12
047257001,ROI small area,"Cork, Cloyne and Ross",047257001,161,7,13,22
047297002,ROI small area,"Cork, Cloyne and Ross",047297002,312,12,21,27
047316001,ROI small area,"Cork, Cloyne and Ross",047316001,222,8,39,1
047288001,ROI small area,"Cork, Cloyne and Ross",047288001,224,31,16,1
047212002,ROI small area,"Cork, Cloyne and Ross",047212002,231,17,49,16
047059001/047059002/047059003,ROI small area,"Cork, Cloyne and Ross",047059001/047059002/047059003,155,17,29,1
047001003,ROI small area,"Cork, Cloyne and Ross",047001003,200,25,42,5
047059004,ROI small area,"Cork, Cloyne and Ross",047059004,228,8,20,0
047001002,ROI small area,"Cork, Cloyne and Ross",047001002,196,17,39,0
047112001,ROI small area,"Cork, Cloyne and Ross",047112001,175,34,29,1
047078001,ROI small area,"Cork, Cloyne and Ross",047078001,317,61,56,7
047186001,ROI small area,"Cork, Cloyne and Ross",047186001,225,29,8,0
047186006,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047186005,ROI small area,"Cork, Cloyne and Ross",047186005,245,28,33,2
047221002,ROI small area,"Cork, Cloyne and Ross",047221002,197,11,44,14
047223001/047223002,ROI small area,"Cork, Cloyne and Ross",047223001/047223002,274,38,74,9
047269001,ROI small area,"Cork, Cloyne and Ross",047269001,252,18,66,9
047032001,ROI small area,"Cork, Cloyne and Ross",047032001,185,26,52,5
047025001,ROI small area,"Cork, Cloyne and Ross",047025001,287,54,49,18
077060004,ROI small area,"Tuam, Limerick and Killaloe",077060004,80,1,11,6
077036001/077036003,ROI small area,"Tuam, Limerick and Killaloe",077036001/077036003,83,3,31,4
077013001,ROI small area,"Tuam, Limerick and Killaloe",077013001,76,8,14,4
077075001,ROI small area,"Tuam, Limerick and Killaloe",077075001,158,4,6,15
077131001,ROI small area,"Tuam, Limerick and Killaloe",077131001,136,18,36,4
077035004,ROI small area,"Tuam, Limerick and Killaloe",077035004,162,4,21,23
077045004,ROI small area,"Tuam, Limerick and Killaloe",077045004,190,4,24,5
077105001,ROI small area,"Tuam, Limerick and Killaloe",077105001,133,14,23,7
077050001,ROI small area,"Tuam, Limerick and Killaloe",077050001,56,0,1,0
077124001,ROI small area,"Tuam, Limerick and Killaloe",077124001,83,4,11,1
077078002,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
077078007/077078008,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
077057001,ROI small area,"Tuam, Limerick and Killaloe",077057001,151,10,24,2
077134001,ROI small area,"Tuam, Limerick and Killaloe",077134001,229,6,26,4
077006001,ROI small area,"Tuam, Limerick and Killaloe",077006001,61,11,26,3
077061004,ROI small area,"Cork, Cloyne and Ross",077061004,139,16,24,11
077061001/077061003,ROI small area,"Tuam, Limerick and Killaloe",077061001/077061003,78,8,35,3
077070002/077070003,ROI small area,"Tuam, Limerick and Killaloe",077070002/077070003,86,15,44,10
077038002,ROI small area,"Tuam, Limerick and Killaloe",077038002,138,7,42,5
